Image,object
Person17_1,rainbowPens
Person17_1,glassBead
Person17_2,rainbowPens
Person17_2,rubiksCube
Person17_3,rainbowPens
Person17_3,glassBead
Person17_3,stickerBox
Person17_3,redBow
Person17_4,redBow
Person17_5,redBow
Person17_5,stickerBox
Person17_6,stickerBox
Person17_7,rubiksCube
Person17_8,glassBead
Person17_9,rainbowPens
Person17_10,rubiksCube
Person17_11,rubiksCube
Person17_12,rubiksCube
Person17_13,redBow
Person17_14,redBow
Person17_15,stickerBox
Person17_16,rainbowPens
Person17_17,rubiksCube
Person17_18,glassBead
Person17_19,rainbowPens
Person17_20,rainbowPens
Person17_20,rubiksCube
Person17_20,redBow
Person17_20,glassBead
Person17_21,none
Person17_22,none
Person17_23,rainbowPens
Person17_24,rubiksCube
Person17_25,stickerBox
Person17_26,glassBead
Person17_27,glassBead
Person17_28,rainbowPens
Person17_29,rainbowPens
Person17_30,rainbowPens
Person17_30,glassBead
Person17_31,rubiksCube
Person17_32,stickerBox
Person17_33,rainbowPens
Person17_34,glassBead
Person17_35,rubiksCube
Person17_36,rainbowPens
Person17_37,rainbowPens
Person17_37,rubiksCube
Person17_38,glassBead
Person17_39,glassBead
Person17_40,glassBead
Person17_41,rainbowPens
Person17_42,rainbowPens
Person17_43,rainbowPens
Person17_44,rainbowPens
Person17_44,glassBead
Person17_45,rainbowPens
Person17_46,rainbowPens
Person17_47,rainbowPens
Person17_48,rubiksCube
Person17_49,rubiksCube
Person17_50,rubiksCube
Person17_51,rainbowPens
Person17_52,rainbowPens
Person17_52,rubiksCube
Person17_53,none
Person17_54,glassBead
Person17_55,stickerBox
Person17_56,rainbowPens
Person17_57,rainbowPens
Person17_58,rubiksCube
Person17_59,stickerBox
Person17_60,blueSunglasses
Person17_61,birdCall
Person17_62,blueSunglasses
Person17_63,blueSunglasses
Person17_64,blueSunglasses
