"x","y","Width","Height","Score","Label"
"1344","363","1654","1613",0.51391,"birdCall"
"1170","938","1976","1341",0.47202,"cloudSign"
"1788","182","726","736",0.36177,"eyeball"
"780","252","1600","1432",0.43702,"metalKey"
"2500","857","457","1109",0.3613,"pinkCandle"
"1156","464","1976","1825",0.303,"pumpkinNotes"
"1318","1654","1103","1381",0.30175,"sign"
"1076","847","1573","666",0.40226,"blueSunglasses"
"1882","1079","1116","1109",0.31452,"hairClip"
"1680","313","336","434",0.31108,"lavenderDie"
"1680","716","982","1371",0.41454,"stickerBox"
