"x","y","Width","Height","Score","Label"
"2272","7","1775","1660",0.33674,"canadaPencil"
"2527","125","941","700",0.38472,"cloudSign"
"2420","7","1170","536",0.38036,"eyeball"
"1385","641","377","530",0.44274,"pinkCandle"
"2057","7","1949","876",0.37136,"pumpkinNotes"
"699","556","1183","700",0.31834,"redWhistle"
"767","686","1062","1281",0.41723,"sign"
"2272","92","1492","504",0.376,"blueSunglasses"
"726","549","1156","745",0.72275,"hairClip"
"2648","7","1318","1111",0.25555,"stickerBox"
"686","686","2944","1281",0.25373,"yellowBag"
