x,y,Width,Height,Score,Label,Person,Image
1479,11,1922,1583,0.33861,birdCall,Person1,Person1_1
2554,313,955,888,0.28139,eyeball,Person1,Person1_1
1855,1724,578,1079,0.34569,pinkCandle,Person1,Person1_1
14,666,1465,2309,0.42683,pumpkinNotes,Person1,Person1_1
1560,1301,1197,615,0.32564,blueSunglasses,Person1,Person1_1
14,464,1775,2268,0.38394,yellowBag,Person1,Person1_1
14,1704,1654,1331,0.31486,birdCall,Person1,Person1_10
1385,595,941,756,0.34418,eyeball,Person1,Person1_10
1654,414,484,1129,0.47155,pinkCandle,Person1,Person1_10
1210,11,1331,2349,0.26367,sign,Person1,Person1_10
1600,938,1116,474,0.25055,blueSunglasses,Person1,Person1_10
2245,1583,377,444,0.35128,lavenderDie,Person1,Person1_10
1936,11,2111,2137,0.34441,yellowBag,Person1,Person1_10
2904,1371,1143,1301,0.31746,birdCall,Person1,Person1_11
162,11,1721,1654,0.32551,cupcakePaper,Person1,Person1_11
619,11,780,1906,0.37005,sign,Person1,Person1_11
1828,414,1210,1492,0.26762,cloudSign,Person1,Person1_2
14,908,1412,1019,0.28889,eyeball,Person1,Person1_2
3320,1150,578,938,0.33001,pinkCandle,Person1,Person1_2
1775,968,1291,857,0.28935,redWhistle,Person1,Person1_2
2984,242,1062,2712,0.42644,sign,Person1,Person1_2
14,11,2688,1744,0.31146,yellowBag,Person1,Person1_2
726,928,1721,1321,0.32367,birdCall,Person1,Person1_3
14,646,1425,1452,0.28574,cloudSign,Person1,Person1_3
847,1785,888,545,0.25623,eyeball,Person1,Person1_3
14,11,1721,1684,0.42761,partyFavor,Person1,Person1_3
1721,807,256,1190,0.42671,pinkCandle,Person1,Person1_3
1076,1331,1533,1402,0.41137,redWhistle,Person1,Person1_3
2473,111,1103,2531,0.55821,sign,Person1,Person1_3
1237,1402,1250,414,0.26772,blueSunglasses,Person1,Person1_3
888,10,998,1396,0.34821,cloudSign,Person1,Person1_4
1029,436,746,634,0.26827,eyeball,Person1,Person1_4
1281,585,222,743,0.31071,pinkCandle,Person1,Person1_4
2087,446,777,2535,0.25358,sign,Person1,Person1_4
1200,733,827,396,0.38178,blueSunglasses,Person1,Person1_4
11,802,1744,2178,0.51116,yellowBag,Person1,Person1_4
2030,756,296,877,0.34666,pinkCandle,Person1,Person1_5
