x,y,Width,Height,Score,Label,Person,Image
377,202,1237,1502,0.31465,cloudSign,Person33,Person33_40obj_1cloudSign
2003,515,296,1361,0.48349,pinkCandle,Person33,Person33_40obj_2pinkCandle
229,273,2137,1825,0.34838,pumpkinNotes,Person33,Person33_40obj_3pumpkinNotes
1560,111,1210,2127,0.36762,sign,Person33,Person33_40obj_4sign
515,565,1341,2608,0.29639,birdCall,Person33,Person33_54obj_1birdCall
666,1143,1482,2514,0.29539,pumpkinNotes,Person33,Person33_54obj_2pumpkinNotes
797,1748,1200,1398,0.31314,redWhistle,Person33,Person33_54obj_3redWhistle
11,269,1089,3750,0.47006,sign,Person33,Person33_54obj_4sign
1422,2366,1250,1680,0.3209,silverStraw,Person33,Person33_54obj_5silverStraw
595,1143,1170,861,0.27061,blueSunglasses,Person33,Person33_54obj_6blueSunglasses
492,607,1639,1245,0.41247,birdCall,Person33,Person33_55obj_1birdCall
506,761,1038,922,0.39375,cloudSign,Person33,Person33_55obj_2cloudSign
233,569,1011,1022,0.40012,eyeball,Person33,Person33_55obj_3eyeball
3168,1007,396,768,0.25991,pinkCandle,Person33,Person33_55obj_4pinkCandle
1229,999,1270,753,0.25999,redWhistle,Person33,Person33_55obj_5redWhistle
274,408,929,1636,0.33674,sign,Person33,Person33_55obj_6sign
2458,1222,1229,315,0.39189,blueSunglasses,Person33,Person33_55obj_7blueSunglasses
1407,999,984,838,0.68481,hairClip,Person33,Person33_55obj_8hairClip
2567,730,355,331,0.4435,lavenderDie,Person33,Person33_55obj_9lavenderDie
716,1385,1351,2070,0.34343,birdCall,Person33,Person33_41obj_1birdCall
1462,1882,303,1129,0.36741,pinkCandle,Person33,Person33_41obj_2pinkCandle
646,27,1543,2433,0.6024,pumpkinNotes,Person33,Person33_41obj_3pumpkinNotes
1089,1062,656,2984,0.40012,sign,Person33,Person33_41obj_4sign
968,2124,888,592,0.3481,blueSunglasses,Person33,Person33_41obj_5blueSunglasses
11,1264,1533,2783,0.27377,yellowBag,Person33,Person33_41obj_6yellowBag
653,2827,507,1284,0.2536,cloudSign,Person33,Person33_57obj_1cloudSign
1329,14,799,2103,0.33777,cupcakePaper,Person33,Person33_57obj_2cupcakePaper
1767,2799,239,560,0.29129,lavenderDie,Person33,Person33_57obj_3lavenderDie
2000,1667,2480,2067,0.33414,birdCall,Person33,Person33_43obj_1birdCall
3820,1947,2200,2040,0.39485,cloudSign,Person33,Person33_43obj_2cloudSign
2300,2094,1820,1254,0.44616,eyeball,Person33,Person33_43obj_3eyeball
1260,1640,520,1560,0.30598,pinkCandle,Person33,Person33_43obj_4pinkCandle
2140,1400,2020,1467,0.47264,redWhistle,Person33,Person33_43obj_5redWhistle
2560,667,1320,1280,0.37096,hairClip,Person33,Person33_43obj_6hairClip
1120,2454,620,507,0.53999,lavenderDie,Person33,Person33_43obj_7lavenderDie
1360,1747,2820,1920,0.41445,birdCall,Person33,Person33_42obj_1birdCall
3320,1800,1500,1747,0.25007,cloudSign,Person33,Person33_42obj_2cloudSign
2920,2614,2260,814,0.4374,eyeball,Person33,Person33_42obj_3eyeball
1180,2627,2380,720,0.47983,blueSunglasses,Person33,Person33_42obj_4blueSunglasses
1080,2267,1700,1520,0.67303,hairClip,Person33,Person33_42obj_5hairClip
1560,2640,620,654,0.43974,lavenderDie,Person33,Person33_42obj_6lavenderDie
3320,2067,1540,1907,0.27625,stickerBox,Person33,Person33_42obj_7stickerBox
686,615,1842,1956,0.33211,canadaPencil,Person33,Person33_56obj_1canadaPencil
592,928,901,1321,0.27645,cloudSign,Person33,Person33_56obj_2cloudSign
565,1049,901,726,0.34683,eyeball,Person33,Person33_56obj_3eyeball
807,958,1560,1331,0.29825,metalKey,Person33,Person33_56obj_4metalKey
2272,414,336,1150,0.46803,pinkCandle,Person33,Person33_56obj_5pinkCandle
2218,807,1613,2228,0.48168,pumpkinNotes,Person33,Person33_56obj_6pumpkinNotes
1788,1109,1331,545,0.41509,blueSunglasses,Person33,Person33_56obj_7blueSunglasses
229,11,2688,1775,0.3877,yellowBag,Person33,Person33_56obj_8yellowBag
5,29,576,394,0.30704,birdCall,Person33,Person33_8obj_1birdCall
376,34,256,200,0.33352,eyeball,Person33,Person33_8obj_2eyeball
5,368,453,339,0.26873,pumpkinNotes,Person33,Person33_8obj_3pumpkinNotes
773,3,355,245,0.40283,redWhistle,Person33,Person33_8obj_4redWhistle
653,274,252,449,0.29416,sign,Person33,Person33_8obj_5sign
141,164,359,132,0.29771,blueSunglasses,Person33,Person33_8obj_6blueSunglasses
