item,person,quantity
birdCall,Person13,12
birdCall,Person14,5
birdCall,Person15,2
birdCall,Person16,1
birdCall,Person17,1
birdCall,Person18,2
blueSunglasses,Person13,14
blueSunglasses,Person17,4
blueSunglasses,Person2,9
blueSunglasses,Person22,3
blueSunglasses,Person27,4
blueSunglasses,Person31,4
blueSunglasses,Person39,2
blueSunglasses,Person7,4
blueSunglasses,Person9,10
brownDie,Person2,7
brownDie,Person23,17
brownDie,Person25,3
brownDie,Person33,12
brownDie,Person7,4
cactusPaper,Person10,6
cactusPaper,Person11,4
cactusPaper,Person12,6
cactusPaper,Person7,2
cactusPaper,Person8,1
cactusPaper,Person9,4
canadaPencil,Person14,5
canadaPencil,Person15,2
canadaPencil,Person22,2
canadaPencil,Person25,3
canadaPencil,Person35,4
canadaPencil,Person39,3
canadaPencil,Person4,8
canadaPencil,Person7,4
carabiner,Person25,3
carabiner,Person26,1
carabiner,Person27,3
carabiner,Person28,2
carabiner,Person29,3
carabiner,Person30,7
cloudSign,Person14,4
cloudSign,Person20,4
cloudSign,Person26,1
cloudSign,Person32,8
cloudSign,Person37,9
cloudSign,Person8,1
cowbell,Person16,1
cowbell,Person28,1
cowbell,Person3,3
cowbell,Person35,6
cowbell,Person38,4
cupcakePaper,Person11,3
cupcakePaper,Person13,11
cupcakePaper,Person23,13
cupcakePaper,Person31,3
cupcakePaper,Person4,4
eyeball,Person11,4
eyeball,Person19,2
eyeball,Person20,2
eyeball,Person30,7
eyeball,Person35,4
eyeball,Person40,2
eyeball,Person5,19
foamDart,Person11,7
foamDart,Person15,2
foamDart,Person22,4
foamDart,Person26,1
foamDart,Person33,16
foamDart,Person39,2
foamDart,Person6,3
gClamp,Person15,2
gClamp,Person19,6
gClamp,Person20,4
gClamp,Person21,2
gClamp,Person22,3
gClamp,Person23,15
gClamp,Person24,7
giftBag,Person11,3
giftBag,Person18,2
giftBag,Person22,2
giftBag,Person3,3
giftBag,Person30,5
giftBag,Person33,11
glassBead,Person17,14
glassBead,Person19,4
glassBead,Person29,3
glassBead,Person3,7
glassBead,Person31,1
glassBead,Person40,1
gyroscope,Person14,4
gyroscope,Person19,2
gyroscope,Person26,1
gyroscope,Person35,3
gyroscope,Person37,8
hairClip,Person11,1
hairClip,Person12,6
hairClip,Person20,4
hairClip,Person28,1
hairClip,Person36,2
hairClip,Person4,3
hairClip,Person40,1
hairRoller,Person15,2
hairRoller,Person19,3
hairRoller,Person27,1
hairRoller,Person33,7
hairRoller,Person37,7
hairRoller,Person9,7
lavenderDie,Person10,9
lavenderDie,Person16,1
lavenderDie,Person18,3
lavenderDie,Person2,5
lavenderDie,Person21,1
lavenderDie,Person29,3
lavenderDie,Person36,1
lavenderDie,Person4,1
lavenderDie,Person6,6
legoBracelet,Person12,5
legoBracelet,Person13,14
legoBracelet,Person24,6
legoBracelet,Person27,3
legoBracelet,Person34,10
legoBracelet,Person39,4
legoBracelet,Person5,10
metalKey,Person16,1
metalKey,Person18,2
metalKey,Person2,7
metalKey,Person20,5
metalKey,Person30,14
metalKey,Person32,9
metalKey,Person40,1
metalKey,Person8,1
metalKey,Person9,3
miniCards,Person1,1
miniCards,Person10,7
miniCards,Person13,13
miniCards,Person14,4
miniCards,Person24,9
miniCards,Person25,6
miniCards,Person32,9
miniCards,Person39,3
miniCards,Person4,5
miniCards,Person6,1
noisemaker,Person1,1
noisemaker,Person11,2
noisemaker,Person12,6
noisemaker,Person15,4
noisemaker,Person2,6
noisemaker,Person20,4
noisemaker,Person36,1
noisemaker,Person37,6
paperPlate,Person13,10
paperPlate,Person19,2
paperPlate,Person25,7
paperPlate,Person31,4
paperPlate,Person37,8
paperPlate,Person7,2
partyFavor,Person10,4
partyFavor,Person13,15
partyFavor,Person20,5
partyFavor,Person25,5
partyFavor,Person34,13
partyFavor,Person37,4
pinkCandle,Person14,3
pinkCandle,Person23,12
pinkCandle,Person27,1
pinkCandle,Person35,2
pinkCandle,Person6,7
pinkCandle,Person9,3
pinkEraser,Person1,1
pinkEraser,Person15,2
pinkEraser,Person18,2
pinkEraser,Person19,5
pinkEraser,Person28,1
pinkEraser,Person33,1
pinkEraser,Person40,3
pinkEraser,Person5,13
pinkEraser,Person9,2
plaidPencil,Person10,10
plaidPencil,Person16,3
plaidPencil,Person24,2
plaidPencil,Person29,3
plaidPencil,Person32,7
plaidPencil,Person4,9
pumpkinNotes,Person12,4
pumpkinNotes,Person14,2
pumpkinNotes,Person21,2
pumpkinNotes,Person27,2
pumpkinNotes,Person3,7
pumpkinNotes,Person32,9
rainbowPens,Person1,1
rainbowPens,Person11,7
rainbowPens,Person17,25
rainbowPens,Person23,17
rainbowPens,Person3,11
rainbowPens,Person30,16
rainbowPens,Person31,3
rainbowPens,Person38,6
redBow,Person17,6
redBow,Person20,5
redBow,Person29,5
redBow,Person34,11
redBow,Person40,1
redBow,Person6,5
redDart,Person37,7
redDart,Person38,4
redDart,Person39,3
redDart,Person40,2
redWhistle,Person18,2
redWhistle,Person23,17
redWhistle,Person29,3
redWhistle,Person33,9
redWhistle,Person38,5
redWhistle,Person5,8
redWhistle,Person7,4
rubiksCube,Person17,16
rubiksCube,Person21,2
rubiksCube,Person30,10
rubiksCube,Person34,17
rubiksCube,Person38,4
rubiksCube,Person4,4
rubiksCube,Person6,1
rubiksCube,Person8,1
sign,Person10,2
sign,Person15,2
sign,Person21,2
sign,Person25,6
sign,Person36,1
sign,Person5,8
silverStraw,Person18,2
silverStraw,Person24,6
silverStraw,Person30,10
silverStraw,Person36,1
silverStraw,Person6,2
silverStraw,Person8,1
spiderRing,Person2,7
spiderRing,Person24,3
spiderRing,Person28,2
spiderRing,Person34,11
stickerBox,Person17,8
stickerBox,Person22,2
stickerBox,Person28,1
stickerBox,Person31,1
stickerBox,Person9,1
trophy,Person1,2
trophy,Person16,1
trophy,Person22,3
trophy,Person29,5
trophy,Person35,3
trophy,Person7,6
turtle,Person31,4
turtle,Person32,9
turtle,Person33,28
turtle,Person34,15
turtle,Person35,2
turtle,Person36,2
vancouverCards,Person1,1
vancouverCards,Person26,1
vancouverCards,Person34,3
vancouverCards,Person39,1
vancouverCards,Person8,1
voiceRecorder,Person10,3
voiceRecorder,Person15,1
voiceRecorder,Person24,1
voiceRecorder,Person26,1
voiceRecorder,Person36,1
voiceRecorder,Person39,1
voiceRecorder,Person8,1
yellowBag,Person12,5
yellowBag,Person16,1
yellowBag,Person21,2
yellowBag,Person28,1
yellowBag,Person32,1
yellowBag,Person38,4
yellowBag,Person6,4
yellowBalloon,Person1,1
yellowBalloon,Person2,4
yellowBalloon,Person3,9
yellowBalloon,Person4,4
yellowBalloon,Person5,5
yellowBalloon,Person6,4
