item,person,quantity,opq
blueSunglasses,Person1,5,0.31157
blueSunglasses,Person2,10,0.38576
blueSunglasses,Person3,11,0.32857727272727266
blueSunglasses,Person4,12,0.32912749999999996
blueSunglasses,Person5,14,0.30926642857142855
blueSunglasses,Person6,11,0.32688090909090917
blueSunglasses,Person7,9,0.4239677777777778
blueSunglasses,Person8,1,0.30577
blueSunglasses,Person9,14,0.40285071428571434
blueSunglasses,Person10,3,0.3552666666666667
blueSunglasses,Person11,2,0.311125
blueSunglasses,Person12,5,0.364076
blueSunglasses,Person13,25,0.38764
blueSunglasses,Person14,8,0.328445
blueSunglasses,Person15,3,0.3577433333333333
blueSunglasses,Person16,3,0.3212566666666667
blueSunglasses,Person17,24,0.32855958333333335
blueSunglasses,Person18,4,0.38244000000000006
blueSunglasses,Person19,6,0.3918083333333333
blueSunglasses,Person20,6,0.30493666666666663
blueSunglasses,Person21,2,0.37155
blueSunglasses,Person22,3,0.33466666666666667
blueSunglasses,Person23,26,0.33037384615384613
blueSunglasses,Person24,10,0.342832
blueSunglasses,Person25,6,0.37865
blueSunglasses,Person26,2,0.34618499999999996
blueSunglasses,Person27,4,0.3846
blueSunglasses,Person28,3,0.30228
blueSunglasses,Person29,8,0.33017
blueSunglasses,Person30,7,0.35052142857142854
blueSunglasses,Person31,5,0.38799
blueSunglasses,Person32,15,0.32190199999999997
blueSunglasses,Person33,28,0.3285242857142857
blueSunglasses,Person34,21,0.3299319047619048
blueSunglasses,Person35,5,0.276946
blueSunglasses,Person36,5,0.305276
blueSunglasses,Person37,15,0.3288213333333333
blueSunglasses,Person38,2,0.29371
blueSunglasses,Person39,5,0.334288
blueSunglasses,Person40,4,0.3818925
metalKey,Person1,3,0.3700466666666667
metalKey,Person2,8,0.37173625
metalKey,Person3,1,0.26193
metalKey,Person4,8,0.34883375
metalKey,Person5,3,0.27103666666666665
metalKey,Person6,5,0.306448
metalKey,Person7,8,0.3915475
metalKey,Person8,3,0.4121333333333334
metalKey,Person9,3,0.41155333333333327
metalKey,Person10,3,0.30310333333333334
metalKey,Person11,2,0.34433
metalKey,Person12,1,0.5301600000000001
metalKey,Person13,5,0.353332
metalKey,Person14,3,0.3597333333333333
metalKey,Person15,1,0.48049
metalKey,Person16,4,0.3626675
metalKey,Person17,2,0.351535
metalKey,Person18,1,0.66809
metalKey,Person20,2,0.30971000000000004
metalKey,Person22,2,0.36994499999999997
metalKey,Person23,9,0.3710333333333333
metalKey,Person24,1,0.32921
metalKey,Person25,7,0.4242457142857142
metalKey,Person27,1,0.32266
metalKey,Person28,3,0.4217666666666666
metalKey,Person29,7,0.34296
metalKey,Person30,5,0.465672
metalKey,Person31,1,0.25084
metalKey,Person32,7,0.36428857142857146
metalKey,Person33,5,0.343208
metalKey,Person34,7,0.32386999999999994
metalKey,Person35,1,0.29102
metalKey,Person37,7,0.4087714285714286
metalKey,Person38,2,0.28509
metalKey,Person39,1,0.43903000000000003
metalKey,Person40,2,0.48429
lavenderDie,Person1,3,0.39023
lavenderDie,Person2,4,0.3605875
lavenderDie,Person3,8,0.37260875000000004
lavenderDie,Person4,7,0.4286342857142857
lavenderDie,Person5,10,0.42256900000000003
lavenderDie,Person6,6,0.32902000000000003
lavenderDie,Person7,4,0.5031025
lavenderDie,Person8,1,0.37172
lavenderDie,Person9,6,0.4065216666666666
lavenderDie,Person10,1,0.58108
lavenderDie,Person11,1,0.5314300000000001
lavenderDie,Person12,3,0.4286666666666667
lavenderDie,Person13,8,0.46415499999999993
lavenderDie,Person14,4,0.4350050000000001
lavenderDie,Person15,4,0.43471000000000004
lavenderDie,Person16,3,0.28084666666666663
lavenderDie,Person17,10,0.414184
lavenderDie,Person18,2,0.8415900000000001
lavenderDie,Person19,2,0.52471
lavenderDie,Person20,3,0.41089666666666663
lavenderDie,Person21,1,0.60946
lavenderDie,Person22,3,0.33574
lavenderDie,Person23,27,0.4762440740740741
lavenderDie,Person24,2,0.5835600000000001
lavenderDie,Person25,3,0.59183
lavenderDie,Person26,1,0.45055
lavenderDie,Person28,1,0.55333
lavenderDie,Person29,5,0.4651120000000001
lavenderDie,Person30,6,0.46253833333333333
lavenderDie,Person32,8,0.364545
lavenderDie,Person33,21,0.4807509523809523
lavenderDie,Person34,12,0.3498141666666667
lavenderDie,Person35,3,0.32347333333333333
lavenderDie,Person36,3,0.5885199999999999
lavenderDie,Person37,9,0.4806544444444445
lavenderDie,Person39,1,0.47763999999999995
lavenderDie,Person40,4,0.481865
noisemaker,Person2,1,0.63847
noisemaker,Person3,3,0.53118
noisemaker,Person4,1,0.33123
noisemaker,Person5,2,0.42022499999999996
noisemaker,Person10,1,0.54538
noisemaker,Person12,1,0.60441
noisemaker,Person14,1,0.28160999999999997
noisemaker,Person15,2,0.297325
noisemaker,Person17,1,0.33974
noisemaker,Person23,3,0.3339666666666667
noisemaker,Person25,2,0.28393
noisemaker,Person30,1,0.34115
noisemaker,Person34,1,0.33097
noisemaker,Person36,1,0.37940999999999997
noisemaker,Person37,4,0.5167925
noisemaker,Person39,1,0.33043
canadaPencil,Person2,3,0.3035366666666667
canadaPencil,Person3,2,0.47462
canadaPencil,Person4,5,0.337756
canadaPencil,Person5,6,0.31848
canadaPencil,Person6,3,0.27792
canadaPencil,Person7,1,0.4634
canadaPencil,Person9,2,0.35104
canadaPencil,Person10,5,0.307344
canadaPencil,Person11,3,0.29034333333333334
canadaPencil,Person12,2,0.340385
canadaPencil,Person13,5,0.30492199999999997
canadaPencil,Person14,4,0.3378075
canadaPencil,Person17,7,0.2677657142857143
canadaPencil,Person19,2,0.25824
canadaPencil,Person20,3,0.2808633333333333
canadaPencil,Person23,12,0.29976500000000006
canadaPencil,Person24,2,0.33875
canadaPencil,Person25,6,0.30681
canadaPencil,Person26,1,0.31609
canadaPencil,Person28,1,0.26561
canadaPencil,Person29,2,0.28331
canadaPencil,Person30,3,0.29105
canadaPencil,Person31,2,0.31315499999999996
